,state,district,recovered,confirmed,deceased,active,date,Classification,Literate,Power_Parity_Above_Rs_545000,Power_Parity_Rs_150000_240000,Power_Parity_Rs_150000_330000,Total_Power_Parity,Power_Parity_Rs_425000_545000,Power_Parity_Rs_330000_545000,Power_Parity_Rs_90000_150000,Jains,Power_Parity_Rs_240000_330000,Power_Parity_Rs_330000_425000,Power_Parity_Rs_45000_150000,Urban_Households,LPG_or_PNG_Households,Other_Workers,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Internet,Households_with_Computer,Households_with_Scooter_Motorcycle_Moped,Households_with_Car_Jeep_Van,Graduate_Education,Main_source_of_drinking_water_Tapwater_Households,Area,Density
0,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-04-21,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
1,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-04-22,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
2,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-04-23,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
3,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-04-24,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
4,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-04-25,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
5,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-04-26,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
6,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-04-27,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
7,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-04-28,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
8,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-04-29,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
9,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-04-30,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
10,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-01,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
11,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-02,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
12,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-03,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
13,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-04,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
14,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-05,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
15,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-06,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
16,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-07,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
17,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-08,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
18,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-09,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
19,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-10,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
20,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-11,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
21,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-12,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
22,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-13,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
23,Andaman and Nicobar Islands,northandmiddleandaman,1.0,1.0,0.0,0.0,2020-05-14,Green Zone,78683.0,84.0,212.0,346.0,3151.0,120.0,190.0,685.0,4.0,134.0,70.0,1895.0,1094.0,5897.0,25677.0,561.0,388.0,1193.0,3550.0,910.0,5133.0,20185.0,3736.0,28.0
24,Andaman and Nicobar Islands,southandaman,10.0,15.0,0.0,5.0,2020-04-21,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
25,Andaman and Nicobar Islands,southandaman,10.0,16.0,0.0,6.0,2020-04-22,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
26,Andaman and Nicobar Islands,southandaman,10.0,20.0,0.0,10.0,2020-04-23,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
27,Andaman and Nicobar Islands,southandaman,10.0,27.0,0.0,17.0,2020-04-24,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
28,Andaman and Nicobar Islands,southandaman,10.0,32.0,0.0,22.0,2020-04-25,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
29,Andaman and Nicobar Islands,southandaman,10.0,32.0,0.0,22.0,2020-04-26,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
30,Andaman and Nicobar Islands,southandaman,10.0,32.0,0.0,22.0,2020-04-27,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
31,Andaman and Nicobar Islands,southandaman,14.0,32.0,0.0,18.0,2020-04-28,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
32,Andaman and Nicobar Islands,southandaman,14.0,32.0,0.0,18.0,2020-04-29,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
33,Andaman and Nicobar Islands,southandaman,15.0,32.0,0.0,17.0,2020-04-30,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
34,Andaman and Nicobar Islands,southandaman,15.0,32.0,0.0,17.0,2020-05-01,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
35,Andaman and Nicobar Islands,southandaman,25.0,32.0,0.0,7.0,2020-05-02,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
36,Andaman and Nicobar Islands,southandaman,31.0,32.0,0.0,1.0,2020-05-03,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
37,Andaman and Nicobar Islands,southandaman,31.0,32.0,0.0,1.0,2020-05-04,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
38,Andaman and Nicobar Islands,southandaman,31.0,32.0,0.0,1.0,2020-05-05,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
39,Andaman and Nicobar Islands,southandaman,31.0,32.0,0.0,1.0,2020-05-06,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
40,Andaman and Nicobar Islands,southandaman,32.0,32.0,0.0,0.0,2020-05-07,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
41,Andaman and Nicobar Islands,southandaman,32.0,32.0,0.0,0.0,2020-05-08,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
42,Andaman and Nicobar Islands,southandaman,32.0,32.0,0.0,0.0,2020-05-09,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
43,Andaman and Nicobar Islands,southandaman,32.0,32.0,0.0,0.0,2020-05-10,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
44,Andaman and Nicobar Islands,southandaman,32.0,32.0,0.0,0.0,2020-05-11,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
45,Andaman and Nicobar Islands,southandaman,32.0,32.0,0.0,0.0,2020-05-12,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
46,Andaman and Nicobar Islands,southandaman,32.0,32.0,0.0,0.0,2020-05-13,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
47,Andaman and Nicobar Islands,southandaman,32.0,32.0,0.0,0.0,2020-05-14,Red Zone,190266.0,376.0,649.0,1017.0,5782.0,497.0,762.0,1371.0,27.0,368.0,265.0,3020.0,50631.0,31998.0,87782.0,4460.0,2789.0,6771.0,17535.0,5323.0,22388.0,51292.0,2672.0,89.0
48,Andaman and Nicobar Islands,unknown,0.0,1.0,0.0,1.0,2020-04-21,,,,,,,,,,,,,,,,,,,,,,,,,
49,Andaman and Nicobar Islands,unknown,0.0,1.0,0.0,1.0,2020-04-22,,,,,,,,,,,,,,,,,,,,,,,,,
50,Andaman and Nicobar Islands,unknown,0.0,1.0,0.0,1.0,2020-04-23,,,,,,,,,,,,,,,,,,,,,,,,,
51,Andaman and Nicobar Islands,unknown,0.0,1.0,0.0,1.0,2020-04-24,,,,,,,,,,,,,,,,,,,,,,,,,
52,Assam,unknown,0.0,1.0,0.0,1.0,2020-04-23,,,,,,,,,,,,,,,,,,,,,,,,,
53,Assam,unknown,13.0,1.0,0.0,-12.0,2020-04-24,,,,,,,,,,,,,,,,,,,,,,,,,
54,Assam,unknown,13.0,1.0,0.0,-12.0,2020-04-25,,,,,,,,,,,,,,,,,,,,,,,,,
55,Assam,unknown,21.0,1.0,0.0,-20.0,2020-04-26,,,,,,,,,,,,,,,,,,,,,,,,,
56,Assam,unknown,21.0,1.0,0.0,-20.0,2020-04-27,,,,,,,,,,,,,,,,,,,,,,,,,
57,Assam,unknown,21.0,1.0,0.0,0.0,2020-04-28,,,,,,,,,,,,,,,,,,,,,,,,,
58,Assam,unknown,21.0,1.0,0.0,0.0,2020-04-29,,,,,,,,,,,,,,,,,,,,,,,,,
59,Assam,unknown,21.0,1.0,0.0,0.0,2020-04-30,,,,,,,,,,,,,,,,,,,,,,,,,
60,Bihar,unknown,0.0,2.0,0.0,0.0,2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,
61,Bihar,unknown,0.0,2.0,1.0,0.0,2020-05-02,,,,,,,,,,,,,,,,,,,,,,,,,
62,Bihar,unknown,26.0,0.0,0.0,0.0,2020-05-05,,,,,,,,,,,,,,,,,,,,,,,,,
63,Bihar,unknown,30.0,0.0,0.0,0.0,2020-05-06,,,,,,,,,,,,,,,,,,,,,,,,,
64,Chandigarh,unknown,0.0,1.0,0.0,0.0,2020-05-07,,,,,,,,,,,,,,,,,,,,,,,,,
65,Chhattisgarh,unknown,7.0,1.0,0.0,-6.0,2020-04-25,,,,,,,,,,,,,,,,,,,,,,,,,
66,Chhattisgarh,unknown,0.0,1.0,0.0,0.0,2020-04-28,,,,,,,,,,,,,,,,,,,,,,,,,
67,Chhattisgarh,unknown,0.0,1.0,0.0,0.0,2020-04-29,,,,,,,,,,,,,,,,,,,,,,,,,
68,Chhattisgarh,unknown,0.0,3.0,0.0,0.0,2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,
69,Delhi,unknown,0.0,2112.0,0.0,2112.0,2020-04-21,,,,,,,,,,,,,,,,,,,,,,,,,
70,Delhi,unknown,0.0,2204.0,0.0,2204.0,2020-04-22,,,,,,,,,,,,,,,,,,,,,,,,,
71,Delhi,unknown,0.0,1588.0,0.0,1588.0,2020-04-23,,,,,,,,,,,,,,,,,,,,,,,,,
72,Delhi,unknown,857.0,1726.0,53.0,816.0,2020-04-24,,,,,,,,,,,,,,,,,,,,,,,,,
73,Delhi,unknown,869.0,1837.0,54.0,914.0,2020-04-25,,,,,,,,,,,,,,,,,,,,,,,,,
74,Delhi,unknown,877.0,2130.0,54.0,1199.0,2020-04-26,,,,,,,,,,,,,,,,,,,,,,,,,
75,Delhi,unknown,877.0,2320.0,54.0,1389.0,2020-04-27,,,,,,,,,,,,,,,,,,,,,,,,,
76,Delhi,unknown,1078.0,2526.0,54.0,0.0,2020-04-28,,,,,,,,,,,,,,,,,,,,,,,,,
77,Delhi,unknown,1092.0,2651.0,56.0,0.0,2020-04-29,,,,,,,,,,,,,,,,,,,,,,,,,
78,Delhi,unknown,1094.0,2727.0,59.0,0.0,2020-04-30,,,,,,,,,,,,,,,,,,,,,,,,,
79,Delhi,unknown,1167.0,2950.0,61.0,0.0,2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,
80,Delhi,unknown,1256.0,3334.0,64.0,0.0,2020-05-02,,,,,,,,,,,,,,,,,,,,,,,,,
81,Delhi,unknown,1362.0,3761.0,64.0,0.0,2020-05-03,,,,,,,,,,,,,,,,,,,,,,,,,
82,Delhi,unknown,1431.0,4110.0,64.0,0.0,2020-05-04,,,,,,,,,,,,,,,,,,,,,,,,,
83,Delhi,unknown,1468.0,4316.0,64.0,0.0,2020-05-05,,,,,,,,,,,,,,,,,,,,,,,,,
84,Delhi,unknown,1542.0,4744.0,65.0,0.0,2020-05-06,,,,,,,,,,,,,,,,,,,,,,,,,
85,Delhi,unknown,1931.0,5192.0,65.0,0.0,2020-05-07,,,,,,,,,,,,,,,,,,,,,,,,,
86,Delhi,unknown,2020.0,5530.0,67.0,3443.0,2020-05-08,,,,,,,,,,,,,,,,,,,,,,,,,
87,Delhi,unknown,2020.0,5754.0,67.0,3667.0,2020-05-09,,,,,,,,,,,,,,,,,,,,,,,,,
88,Delhi,unknown,2069.0,6135.0,72.0,3994.0,2020-05-10,,,,,,,,,,,,,,,,,,,,,,,,,
89,Delhi,unknown,2129.0,6445.0,72.0,4244.0,2020-05-11,,,,,,,,,,,,,,,,,,,,,,,,,
90,Delhi,unknown,2512.0,6851.0,85.0,4254.0,2020-05-12,,,,,,,,,,,,,,,,,,,,,,,,,
91,Delhi,unknown,2858.0,7210.0,105.0,4247.0,2020-05-13,,,,,,,,,,,,,,,,,,,,,,,,,
92,Delhi,unknown,3045.0,7682.0,114.0,4523.0,2020-05-14,,,,,,,,,,,,,,,,,,,,,,,,,
93,Goa,unknown,0.0,3.0,0.0,3.0,2020-04-21,,,,,,,,,,,,,,,,,,,,,,,,,
94,Gujarat,unknown,1.0,0.0,0.0,0.0,2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,
95,Himachal Pradesh,unknown,0.0,1.0,0.0,1.0,2020-04-23,,,,,,,,,,,,,,,,,,,,,,,,,
96,Himachal Pradesh,unknown,0.0,1.0,1.0,0.0,2020-04-24,,,,,,,,,,,,,,,,,,,,,,,,,
97,Himachal Pradesh,unknown,5.0,1.0,1.0,-5.0,2020-04-25,,,,,,,,,,,,,,,,,,,,,,,,,
98,Himachal Pradesh,unknown,1.0,0.0,0.0,0.0,2020-05-03,,,,,,,,,,,,,,,,,,,,,,,,,
99,Himachal Pradesh,unknown,0.0,1.0,0.0,1.0,2020-05-12,,,,,,,,,,,,,,,,,,,,,,,,,
100,Himachal Pradesh,unknown,0.0,1.0,0.0,1.0,2020-05-13,,,,,,,,,,,,,,,,,,,,,,,,,
101,Himachal Pradesh,unknown,0.0,1.0,0.0,1.0,2020-05-14,,,,,,,,,,,,,,,,,,,,,,,,,
102,Jammu and Kashmir,unknown,0.0,7.0,0.0,7.0,2020-04-23,,,,,,,,,,,,,,,,,,,,,,,,,
103,Jharkhand,unknown,0.0,3.0,0.0,3.0,2020-04-23,,,,,,,,,,,,,,,,,,,,,,,,,
104,Jharkhand,unknown,8.0,9.0,3.0,-2.0,2020-04-24,,,,,,,,,,,,,,,,,,,,,,,,,
105,Jharkhand,unknown,8.0,13.0,3.0,2.0,2020-04-25,,,,,,,,,,,,,,,,,,,,,,,,,
106,Jharkhand,unknown,0.0,1.0,0.0,0.0,2020-04-28,,,,,,,,,,,,,,,,,,,,,,,,,
107,Jharkhand,unknown,4.0,0.0,0.0,0.0,2020-05-06,,,,,,,,,,,,,,,,,,,,,,,,,
108,Jharkhand,unknown,4.0,0.0,0.0,0.0,2020-05-07,,,,,,,,,,,,,,,,,,,,,,,,,
109,Jharkhand,unknown,4.0,0.0,0.0,-4.0,2020-05-08,,,,,,,,,,,,,,,,,,,,,,,,,
110,Jharkhand,unknown,0.0,21.0,0.0,21.0,2020-05-09,,,,,,,,,,,,,,,,,,,,,,,,,
111,Jharkhand,unknown,0.0,2.0,0.0,2.0,2020-05-12,,,,,,,,,,,,,,,,,,,,,,,,,
112,Jharkhand,unknown,0.0,3.0,0.0,3.0,2020-05-13,,,,,,,,,,,,,,,,,,,,,,,,,
113,Karnataka,unknown,0.0,2.0,0.0,2.0,2020-04-23,,,,,,,,,,,,,,,,,,,,,,,,,
114,Karnataka,unknown,1.0,0.0,0.0,0.0,2020-04-28,,,,,,,,,,,,,,,,,,,,,,,,,
115,Karnataka,unknown,1.0,0.0,0.0,0.0,2020-04-29,,,,,,,,,,,,,,,,,,,,,,,,,
116,Karnataka,unknown,14.0,0.0,0.0,0.0,2020-04-30,,,,,,,,,,,,,,,,,,,,,,,,,
117,Karnataka,unknown,14.0,0.0,0.0,0.0,2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,
118,Kerala,unknown,-4.0,-3.0,0.0,0.0,2020-04-30,,,,,,,,,,,,,,,,,,,,,,,,,
119,Madhya Pradesh,unknown,0.0,1.0,0.0,1.0,2020-04-21,,,,,,,,,,,,,,,,,,,,,,,,,
120,Madhya Pradesh,unknown,58.0,0.0,9.0,0.0,2020-05-04,,,,,,,,,,,,,,,,,,,,,,,,,
121,Maharashtra,unknown,0.0,1362.0,0.0,1362.0,2020-04-21,,,,,,,,,,,,,,,,,,,,,,,,,
122,Maharashtra,unknown,0.0,431.0,0.0,431.0,2020-04-22,,,,,,,,,,,,,,,,,,,,,,,,,
123,Maharashtra,unknown,0.0,778.0,0.0,778.0,2020-04-23,,,,,,,,,,,,,,,,,,,,,,,,,
124,Maharashtra,unknown,168.0,390.0,18.0,204.0,2020-04-24,,,,,,,,,,,,,,,,,,,,,,,,,
125,Maharashtra,unknown,94.0,522.0,0.0,428.0,2020-04-27,,,,,,,,,,,,,,,,,,,,,,,,,
126,Maharashtra,unknown,106.0,1.0,31.0,0.0,2020-04-28,,,,,,,,,,,,,,,,,,,,,,,,,
127,Maharashtra,unknown,106.0,1008.0,0.0,0.0,2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,
128,Maharashtra,unknown,121.0,0.0,0.0,0.0,2020-05-02,,,,,,,,,,,,,,,,,,,,,,,,,
129,Maharashtra,unknown,350.0,1567.0,35.0,0.0,2020-05-04,,,,,,,,,,,,,,,,,,,,,,,,,
130,Maharashtra,unknown,354.0,0.0,0.0,0.0,2020-05-05,,,,,,,,,,,,,,,,,,,,,,,,,
131,Maharashtra,unknown,275.0,0.0,0.0,0.0,2020-05-06,,,,,,,,,,,,,,,,,,,,,,,,,
132,Maharashtra,unknown,207.0,0.0,0.0,0.0,2020-05-07,,,,,,,,,,,,,,,,,,,,,,,,,
133,Maharashtra,unknown,169.0,0.0,0.0,-169.0,2020-05-08,,,,,,,,,,,,,,,,,,,,,,,,,
134,Maharashtra,unknown,330.0,0.0,0.0,-330.0,2020-05-09,,,,,,,,,,,,,,,,,,,,,,,,,
135,Maharashtra,unknown,729.0,0.0,0.0,-729.0,2020-05-10,,,,,,,,,,,,,,,,,,,,,,,,,
136,Maharashtra,unknown,422.0,0.0,54.0,-476.0,2020-05-13,,,,,,,,,,,,,,,,,,,,,,,,,
137,Maharashtra,unknown,512.0,0.0,0.0,-512.0,2020-05-14,,,,,,,,,,,,,,,,,,,,,,,,,
138,Meghalaya,unknown,0.0,5.0,0.0,5.0,2020-04-21,,,,,,,,,,,,,,,,,,,,,,,,,
139,Meghalaya,unknown,0.0,5.0,0.0,5.0,2020-04-22,,,,,,,,,,,,,,,,,,,,,,,,,
140,Meghalaya,unknown,0.0,5.0,0.0,5.0,2020-04-23,,,,,,,,,,,,,,,,,,,,,,,,,
141,Meghalaya,unknown,0.0,5.0,1.0,4.0,2020-04-24,,,,,,,,,,,,,,,,,,,,,,,,,
142,Meghalaya,unknown,0.0,5.0,1.0,4.0,2020-04-25,,,,,,,,,,,,,,,,,,,,,,,,,
